review,rating,date,bank,source
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,10/7/2025,CBE,Google Play Store
Our Commercial Bank of Ethiopia is Good !,5,10/6/2025,CBE,Google Play Store
Asledin Ibsa,5,10/6/2025,CBE,Google Play Store
terrible when showing history of transaction it shows in disorganised way,3,10/5/2025,CBE,Google Play Store
my bank,5,10/5/2025,CBE,Google Play Store
Data,5,10/4/2025,CBE,Google Play Store
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,10/4/2025,CBE,Google Play Store
excellent app with lots of features,5,10/4/2025,CBE,Google Play Store
very good 👍 mobile banking,5,10/4/2025,CBE,Google Play Store
so special,5,10/3/2025,CBE,Google Play Store
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,10/3/2025,CBE,Google Play Store
woow cbe,5,10/3/2025,CBE,Google Play Store
cbe the best bank app,4,10/3/2025,CBE,Google Play Store
This App CBE bank it's Simple and Smart I Like it.,5,10/3/2025,CBE,Google Play Store
Rijalufaris,5,10/2/2025,CBE,Google Play Store
its Best app But i hate the Repeatedly update request,5,10/2/2025,CBE,Google Play Store
imoo,3,10/2/2025,CBE,Google Play Store
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,10/2/2025,CBE,Google Play Store
screen shoot always not allowed why?,5,10/2/2025,CBE,Google Play Store
enkorabetalen,5,10/1/2025,CBE,Google Play Store
Gamada mahamadi,1,9/30/2025,CBE,Google Play Store
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,9/30/2025,CBE,Google Play Store
verfcasencod,5,9/30/2025,CBE,Google Play Store
you can't get your own transaction history,1,9/29/2025,CBE,Google Play Store
sintu,5,9/28/2025,CBE,Google Play Store
BEST,5,9/28/2025,CBE,Google Play Store
Bank of Ethiopia,5,9/28/2025,CBE,Google Play Store
"All most Good, but need improvement",5,9/27/2025,CBE,Google Play Store
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,9/27/2025,CBE,Google Play Store
poor app all of you guys delete CBE and download BOA,1,9/27/2025,CBE,Google Play Store
niceapp,5,9/26/2025,CBE,Google Play Store
the best app of all,5,9/25/2025,CBE,Google Play Store
❤️,5,9/25/2025,CBE,Google Play Store
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,9/24/2025,CBE,Google Play Store
Juhaar,5,9/24/2025,CBE,Google Play Store
I am using CBE app very fantastic.,5,9/24/2025,CBE,Google Play Store
bist app tankyou,4,9/23/2025,CBE,Google Play Store
this is very useful and consistent app,5,9/23/2025,CBE,Google Play Store
"this application provides timely service in a good, fast and reliable manner.",5,9/23/2025,CBE,Google Play Store
So good,5,9/23/2025,CBE,Google Play Store
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,9/23/2025,CBE,Google Play Store
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,9/22/2025,CBE,Google Play Store
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,9/22/2025,CBE,Google Play Store
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,9/21/2025,CBE,Google Play Store
very important app,4,9/21/2025,CBE,Google Play Store
the best of all mobile banking in Ethiopia works perfectly fine,5,9/21/2025,CBE,Google Play Store
DANTRO BAND!!!,5,9/21/2025,CBE,Google Play Store
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,9/20/2025,CBE,Google Play Store
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,9/20/2025,CBE,Google Play Store
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,9/20/2025,CBE,Google Play Store
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,9/20/2025,CBE,Google Play Store
asfaw damse,5,9/19/2025,CBE,Google Play Store
jabadhaa namatii tolataan,5,9/19/2025,CBE,Google Play Store
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,9/19/2025,CBE,Google Play Store
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,9/18/2025,CBE,Google Play Store
Truly amazing!,5,9/18/2025,CBE,Google Play Store
Doesn't have option to generate statement for transactions,3,9/18/2025,CBE,Google Play Store
😎,5,9/17/2025,CBE,Google Play Store
JanaleBl,5,9/17/2025,CBE,Google Play Store
nice application,5,9/17/2025,CBE,Google Play Store
WaaaaaaaW,1,9/17/2025,CBE,Google Play Store
very nice,5,9/16/2025,CBE,Google Play Store
Of,5,9/16/2025,CBE,Google Play Store
it's best app to use recently and upgraded day to day for internationalization,4,9/16/2025,CBE,Google Play Store
Easy to use and not Complicated 👍,5,9/15/2025,CBE,Google Play Store
apdat the app,5,9/14/2025,CBE,Google Play Store
good in bankin at any time & any where.,5,9/13/2025,CBE,Google Play Store
great,5,9/13/2025,CBE,Google Play Store
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,9/13/2025,CBE,Google Play Store
it is best to me,1,9/13/2025,CBE,Google Play Store
hayizgi mebrahtom feshay,5,9/13/2025,CBE,Google Play Store
Excellent app,5,9/12/2025,CBE,Google Play Store
after apdate the app doesn't work any thing else it said enable to connects,1,9/12/2025,CBE,Google Play Store
love,5,9/12/2025,CBE,Google Play Store
Hasasa bank,1,9/11/2025,CBE,Google Play Store
All ways Trusted.,5,9/11/2025,CBE,Google Play Store
best MB application in Ethiopia financial sector.,5,9/10/2025,CBE,Google Play Store
I like this app,5,9/10/2025,CBE,Google Play Store
am tired why I have to update every 5 day,1,9/10/2025,CBE,Google Play Store
usb debugig mode bicha off endidereg axrigu like awash bank,1,9/10/2025,CBE,Google Play Store
good morning 🙏,5,9/10/2025,CBE,Google Play Store
