review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play Store,Positive,0.8402,"['Customer Support & Service', 'Feature Requests & Reliability']"
niiceh,5,2025-10-29,CBE,Google Play Store,Neutral,0.0,['Other']
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play Store,Positive,0.4404,['Other']
🤮,1,2025-10-29,CBE,Google Play Store,Neutral,0.0,['Other']
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play Store,Neutral,0.0,['Other']
strong,5,2025-10-28,CBE,Google Play Store,Positive,0.5106,['Other']
Abebaw Zenebe,5,2025-10-28,CBE,Google Play Store,Neutral,0.0,['Other']
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play Store,Positive,0.8225,['User Interface & Experience']
Cbe,5,2025-10-27,CBE,Google Play Store,Neutral,0.0,['Other']
Active and granted system,5,2025-10-27,CBE,Google Play Store,Positive,0.5719,['Other']
fast app,4,2025-10-26,CBE,Google Play Store,Neutral,0.0,['Transaction Performance']
cool 😎,5,2025-10-26,CBE,Google Play Store,Positive,0.3182,['Other']
Galaxy A10s,3,2025-10-26,CBE,Google Play Store,Neutral,0.0,['Other']
the best apps,5,2025-10-26,CBE,Google Play Store,Positive,0.6369,['Other']
arif app new,5,2025-10-26,CBE,Google Play Store,Neutral,0.0,['Other']
laga Bari biranch,5,2025-10-26,CBE,Google Play Store,Neutral,0.0,['Other']
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-25,CBE,Google Play Store,Neutral,0.0,['Other']
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play Store,Positive,0.6597,['Other']
Attractive,5,2025-10-25,CBE,Google Play Store,Positive,0.4404,['Other']
mite,5,2025-10-24,CBE,Google Play Store,Neutral,0.0,['Other']
useful,5,2025-10-23,CBE,Google Play Store,Positive,0.4404,['Other']
nice,4,2025-10-23,CBE,Google Play Store,Positive,0.4215,['Other']
"not good, not bad!",3,2025-10-23,CBE,Google Play Store,Negative,-0.1531,['Other']
very good,5,2025-10-23,CBE,Google Play Store,Positive,0.4404,['Other']
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play Store,Neutral,0.0,['Other']
imp,5,2025-10-22,CBE,Google Play Store,Neutral,0.0,['Other']
super fast app,5,2025-10-21,CBE,Google Play Store,Positive,0.5994,['Transaction Performance']
good app,4,2025-10-20,CBE,Google Play Store,Positive,0.4404,['Other']
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play Store,Positive,0.8481,"['Account Access & Security', 'Transaction Performance', 'User Interface & Experience', 'Feature Requests & Reliability']"
cbe,4,2025-10-18,CBE,Google Play Store,Neutral,0.0,['Other']
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play Store,Neutral,0.0,['Feature Requests & Reliability']
blah blah blah,5,2025-10-18,CBE,Google Play Store,Negative,-0.296,['Other']
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play Store,Negative,-0.5423,['Other']
CBE no.1,5,2025-10-17,CBE,Google Play Store,Neutral,0.0,['Other']
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play Store,Neutral,0.0,['Feature Requests & Reliability']
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play Store,Positive,0.91,"['Account Access & Security', 'User Interface & Experience']"
gooof,5,2025-10-16,CBE,Google Play Store,Neutral,0.0,['Other']
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play Store,Negative,-0.2263,"['Customer Support & Service', 'Feature Requests & Reliability']"
Best app,5,2025-10-15,CBE,Google Play Store,Positive,0.6369,['Other']
